"","termGrp","term","termLabel","or_unadj","lcl95_unadj","ucl95_unadj","p.valueUnadj","or_adj","lcl95_adj","ucl95_adj","p.value"
"17","ICB","icbShortNameHerefordshire & Worcestershire","Herefordshire & Worcestershire",0.689170055511216,0.651634446564122,0.728867799910876,8.44146878786747e-39,0.752975728870072,0.703168177158303,0.806311301741084,4.44898911896548e-16
"18","ICB","icbShortNameHertfordshire & W Essex","Hertfordshire & W Essex",0.90079546024925,0.856390141638229,0.947503271877267,5.1050158568456e-05,0.899969737210123,0.84607103554179,0.957302039509485,0.000823179991546975
"19","ICB","icbShortNameHumber & N Yorkshire","Humber & N Yorkshire",0.924671562467207,0.882588699357083,0.968760985789166,0.000982576013298383,1.03907326547896,0.981717634877533,1.09977982739181,0.185810125016705
"20","ICB","icbShortNameKent & Medway","Kent & Medway",0.963702548001725,0.918862512000566,1.01073075557624,0.128278598245114,1.02845979716697,0.970419666086195,1.08997126846642,0.343709766894467
"21","ICB","icbShortNameLancashire & S Cumbria","Lancashire & S Cumbria",0.923593009679614,0.88108928176253,0.968147116513163,0.000943938431792282,0.946638343548802,0.893525546470692,1.00290826268638,0.0626841460549408
"22","ICB","icbShortNameLeicester, Leicestershire & Rutland","Leicester, Leicestershire & Rutland",1.17376578436893,1.11346812158185,1.23732874776688,2.60881847012724e-09,1.25381377697156,1.17518831723311,1.33769963866298,7.61496287086565e-12
"23","ICB","icbShortNameLincolnshire","Lincolnshire",0.90185439287202,0.853053356849951,0.953447213367713,0.000273104087468393,0.961634555228011,0.897860378685119,1.02993855142914,0.263818172370788
"24","ICB","icbShortNameMid & S Essex","Mid & S Essex",0.911533554732789,0.865741451692149,0.959747762775779,0.000427758858830471,0.888924415568376,0.83458618915106,0.946800494502977,0.000253504783825097
"25","ICB","icbShortNameN Central London","N Central London",1.08626765750672,1.02988986347762,1.14573166082121,0.00234139963000612,1.03667169890446,0.969569759711993,1.10841762600835,0.291484586646126
"26","ICB","icbShortNameNE & N Cumbria","NE & N Cumbria",1.15739063907278,1.10829093019183,1.20866557229828,3.87137590581229e-11,1.11266082296813,1.05484480096779,1.17364573995367,8.81045046010189e-05
"27","ICB","icbShortNameNE London","NE London",1.14298522333939,1.08416234452276,1.20499962701366,7.13525615813881e-07,0.953520142087343,0.891936170254353,1.01935619575445,0.162352324191194
"28","ICB","icbShortNameNorfolk & Waveney","Norfolk & Waveney",0.913964080459651,0.868607585518916,0.961688977044127,0.000531721458842982,1.05448453743781,0.990897375983847,1.12215216897856,0.0945569415462367
"29","ICB","icbShortNameNorthamptonshire","Northamptonshire",1.01523782295852,0.959837715729774,1.07383552477087,0.597342181764438,0.887349767316188,0.827010615253398,0.952091297298324,0.000879723901605812
"30","ICB","icbShortNameNottingham & Nottinghamshire","Nottingham & Nottinghamshire",0.967417748878732,0.91741536633445,1.02014543813997,0.22118705788149,1.00759212843814,0.943821616994116,1.07567137583037,0.820628823657259
"31","ICB","icbShortNameNW London","NW London",1.10133974231424,1.04993828182729,1.15525764608735,7.54668779413313e-05,1.00879037062877,0.949804144748532,1.07143985157357,0.775870718419714
"32","ICB","icbShortNameSE London","SE London",1.1869888352364,1.12849467402384,1.24851497079028,2.9609740467231e-11,1.05064814006869,0.986326557491588,1.11916434353863,0.125311422825384
"33","ICB","icbShortNameShropshire, Telford & Wrekin","Shropshire, Telford & Wrekin",0.83325645983216,0.782890280396143,0.886862878794076,9.78815482797658e-09,0.905638241185735,0.83934870564657,0.977163148498795,0.0105982933944606
"34","ICB","icbShortNameSomerset","Somerset",1.0047315252203,0.947696004750747,1.06519963438805,0.874212701738507,1.02904058094969,0.957921551310521,1.10543970515392,0.433355265564986
"35","ICB","icbShortNameSouth Yorkshire","South Yorkshire",1.02928478685491,0.981135542658911,1.07979695606569,0.237657032058657,0.9330151744568,0.878953199138769,0.990402352047434,0.0228056673784626
"36","ICB","icbShortNameStaffordshire & Stoke-on-Trent","Staffordshire & Stoke-on-Trent",0.771163039219329,0.732821719303241,0.811510381574688,1.73553845916624e-23,0.774959834020585,0.728251374355658,0.824664072727055,9.12114289783668e-16
